id,order_date,customer_id,province_id,city_id
1,2022-01-01 00:00:00.000,171,10,184
2,2022-01-01 00:00:00.000,167,10,173
3,2022-01-01 00:00:00.000,195,6,116
4,2022-01-01 00:00:00.000,40,4,72
5,2022-01-01 00:00:00.000,87,5,79
6,2022-01-01 00:00:00.000,144,2,11
7,2022-01-01 00:00:00.000,137,5,111
8,2022-01-01 00:00:00.000,72,5,107
9,2022-01-01 00:00:00.000,24,10,182
10,2022-01-01 00:00:00.000,52,4,64
11,2022-01-01 00:00:00.000,68,6,119
12,2022-01-01 00:00:00.000,146,3,39
13,2022-01-01 00:00:00.000,16,4,67
14,2022-01-01 00:00:00.000,117,4,69
15,2022-01-01 00:00:00.000,98,6,118
16,2022-01-01 00:00:00.000,96,10,173
17,2022-01-01 00:00:00.000,42,8,154
18,2022-01-01 00:00:00.000,34,4,72
19,2022-01-01 00:00:00.000,141,7,136
20,2022-01-01 00:00:00.000,31,5,90
21,2022-01-01 00:00:00.000,55,5,94
22,2022-01-01 00:00:00.000,60,6,120
23,2022-01-01 00:00:00.000,27,6,119
24,2022-01-01 00:00:00.000,64,3,26
25,2022-01-01 00:00:00.000,31,3,22
26,2022-01-01 00:00:00.000,154,7,130
27,2022-01-01 00:00:00.000,150,11,221
28,2022-01-01 00:00:00.000,106,4,67
29,2022-01-01 00:00:00.000,180,9,158
30,2022-01-01 00:00:00.000,198,5,97
31,2022-01-01 00:00:00.000,127,11,192
32,2022-01-01 00:00:00.000,57,6,124
33,2022-01-01 00:00:00.000,153,4,56
34,2022-01-01 00:00:00.000,56,9,166
35,2022-01-01 00:00:00.000,147,8,149
36,2022-01-01 00:00:00.000,51,5,113
37,2022-01-01 00:00:00.000,6,9,169
38,2022-01-01 00:00:00.000,47,5,81
39,2022-01-01 00:00:00.000,141,11,217
40,2022-01-01 00:00:00.000,177,10,173
41,2022-01-01 00:00:00.000,163,10,173
42,2022-01-01 00:00:00.000,138,11,195
43,2022-01-01 00:00:00.000,58,7,129
44,2022-01-01 00:00:00.000,49,2,10
45,2022-01-01 00:00:00.000,98,7,132
46,2022-01-01 00:00:00.000,91,5,81
47,2022-01-01 00:00:00.000,137,5,107
48,2022-01-01 00:00:00.000,168,8,143
49,2022-01-01 00:00:00.000,46,5,90
50,2022-01-01 00:00:00.000,44,11,199
51,2022-01-01 00:00:00.000,122,2,12
52,2022-01-01 00:00:00.000,69,5,96
53,2022-01-01 00:00:00.000,142,9,165
54,2022-01-01 00:00:00.000,159,5,95
55,2022-01-01 00:00:00.000,101,4,74
56,2022-01-01 00:00:00.000,75,6,117
57,2022-01-01 00:00:00.000,124,2,11
58,2022-01-01 00:00:00.000,66,4,59
59,2022-01-01 00:00:00.000,117,10,173
60,2022-01-01 00:00:00.000,23,2,10
61,2022-01-01 00:00:00.000,152,5,95
62,2022-01-01 00:00:00.000,166,7,136
63,2022-01-01 00:00:00.000,148,4,72
64,2022-01-01 00:00:00.000,76,5,105
65,2022-01-01 00:00:00.000,24,6,119
66,2022-01-01 00:00:00.000,194,5,114
67,2022-01-01 00:00:00.000,47,9,163
68,2022-01-01 00:00:00.000,115,4,59
69,2022-01-01 00:00:00.000,15,4,50
70,2022-01-01 00:00:00.000,37,10,175
71,2022-01-01 00:00:00.000,97,5,109
72,2022-01-01 00:00:00.000,172,2,14
73,2022-01-01 00:00:00.000,178,5,79
74,2022-01-01 00:00:00.000,9,1,7
75,2022-01-01 00:00:00.000,121,5,93
76,2022-01-01 00:00:00.000,30,7,129
77,2022-01-01 00:00:00.000,105,5,103
78,2022-01-01 00:00:00.000,34,4,62
79,2022-01-01 00:00:00.000,80,9,156
80,2022-01-01 00:00:00.000,154,3,20
81,2022-01-01 00:00:00.000,59,4,67
82,2022-01-01 00:00:00.000,147,6,128
83,2022-01-01 00:00:00.000,186,6,125
84,2022-01-01 00:00:00.000,65,4,53
85,2022-01-01 00:00:00.000,60,2,13
86,2022-01-01 00:00:00.000,185,3,40
87,2022-01-01 00:00:00.000,30,3,39
88,2022-01-01 00:00:00.000,49,4,58
89,2022-01-01 00:00:00.000,1,5,78
90,2022-01-01 00:00:00.000,1,4,71
91,2022-01-01 00:00:00.000,159,10,183
92,2022-01-01 00:00:00.000,102,11,201
